Country,Year,Month,AverageTicketPrice,Visitors
ARMENIA,2015,JANUARY,1482.14,20.78
ARMENIA,2015,FEBRUARY,350.61,65.55
ARMENIA,2015,MARCH,873.1,27.07
ARMENIA,2015,APRIL,234.94,13.61
ARMENIA,2015,MAY,1419.63,5.88
ARMENIA,2015,JUNE,1333.17,54.21
ARMENIA,2015,AUGUST,1351.57,68.46
ARMENIA,2015,SEPTEMBER,682.13,14.86
ARMENIA,2015,OCTOBER,831.04,5.11
ARMENIA,2015,NOVEMBER,398.7,50.47
ARMENIA,2015,DECEMBER,587.68,89.93
ARMENIA,2016,MARCH,316.55,43.22
ARMENIA,2016,APRIL,366.28,72.57
ARMENIA,2016,MAY,1110.48,5.36
ARMENIA,2016,JUNE,946.92,15.83
ARMENIA,2016,AUGUST,1482.01,12.88
ARMENIA,2016,SEPTEMBER,1144.37,55.75
ARMENIA,2016,OCTOBER,591.93,30.81
ARMENIA,2016,NOVEMBER,1030.58,38.24
ARMENIA,2017,FEBRUARY,484.2,43.07
ARMENIA,2017,MARCH,487.06,67.89
ARMENIA,2017,APRIL,918.99,78.47
ARMENIA,2017,MAY,1108.08,5.01
ARMENIA,2017,JULY,1473.54,69.07
ARMENIA,2017,AUGUST,867.29,59.96
ARMENIA,2017,SEPTEMBER,1462.32,42.87
ARMENIA,2017,OCTOBER,319.18,50.84
ARMENIA,2017,NOVEMBER,1219.95,27.39
ARMENIA,2017,DECEMBER,891.1,70.34
ARMENIA,2018,JANUARY,1037.64,75.33
ARMENIA,2018,FEBRUARY,267.78,50.72
ARMENIA,2018,MARCH,1037.3,2.06
ARMENIA,2018,APRIL,668.37,40.5
ARMENIA,2018,MAY,656.1,12.3
ARMENIA,2018,JUNE,546.78,88.52
ARMENIA,2018,AUGUST,847.71,22.5
ARMENIA,2018,SEPTEMBER,424.36,3.78
ARMENIA,2018,NOVEMBER,1202.59,60.19
ARMENIA,2018,DECEMBER,340.47,41.38
ARMENIA,2019,JANUARY,1176.64,49.1
ARMENIA,2019,MARCH,457.59,49.18
ARMENIA,2019,APRIL,593.93,88.8
ARMENIA,2019,JUNE,784.84,5.55
ARMENIA,2019,JULY,1408.32,76.06
ARMENIA,2019,AUGUST,833.19,10.63
ARMENIA,2019,SEPTEMBER,1019.47,12.3
ARMENIA,2019,OCTOBER,245.66,56.37
ARMENIA,2019,NOVEMBER,1296.07,25.84
ARMENIA,2020,JANUARY,1162.85,68.56
ARMENIA,2020,FEBRUARY,877.66,58.5
ARMENIA,2020,MARCH,655.72,35.79
ARMENIA,2020,APRIL,1286.41,69.0
ARMENIA,2020,JUNE,219.83,58.64
ARMENIA,2020,JULY,1062.53,16.06
ARMENIA,2020,AUGUST,785.75,44.94
ARMENIA,2020,OCTOBER,1123.67,49.32
ARMENIA,2020,NOVEMBER,1015.58,60.58
ARMENIA,2020,DECEMBER,402.89,73.76
ARMENIA,2021,JANUARY,1342.19,75.81
ARMENIA,2021,FEBRUARY,946.21,55.0
ARMENIA,2021,MARCH,811.81,72.37
ARMENIA,2021,APRIL,504.71,83.23
ARMENIA,2021,MAY,664.38,15.62
ARMENIA,2021,JUNE,1220.95,40.15
ARMENIA,2021,JULY,256.0,61.12
ARMENIA,2021,AUGUST,281.77,42.33
ARMENIA,2021,SEPTEMBER,990.02,69.7
ARMENIA,2021,OCTOBER,1481.61,51.98
ARMENIA,2021,NOVEMBER,531.29,77.24
ARMENIA,2021,DECEMBER,1091.56,69.08
ARMENIA,2022,JANUARY,509.45,2.86
ARMENIA,2022,MARCH,1452.78,84.85
ARMENIA,2022,APRIL,508.79,57.18
ARMENIA,2022,MAY,555.84,80.8
ARMENIA,2022,JULY,1127.85,57.57
ARMENIA,2022,AUGUST,1218.9,57.89
ARMENIA,2022,SEPTEMBER,1311.07,25.3
ARMENIA,2022,OCTOBER,907.91,40.84
ARMENIA,2022,DECEMBER,1046.49,21.74
ARMENIA,2023,JANUARY,603.61,50.75
ARMENIA,2023,FEBRUARY,732.76,75.48
ARMENIA,2023,MARCH,506.58,29.16
ARMENIA,2023,APRIL,908.27,27.08
ARMENIA,2023,MAY,1119.01,85.05
ARMENIA,2023,JUNE,696.26,18.92
ARMENIA,2023,JULY,239.45,79.75
ARMENIA,2023,AUGUST,1335.93,73.83
ARMENIA,2023,DECEMBER,545.08,50.59
BAHAMAS,2015,JANUARY,792.63,69.34
BAHAMAS,2015,FEBRUARY,665.47,27.04
BAHAMAS,2015,APRIL,1131.13,48.91
BAHAMAS,2015,MAY,328.16,61.3
BAHAMAS,2015,JUNE,1157.37,20.36
BAHAMAS,2015,JULY,1015.22,41.71
BAHAMAS,2015,AUGUST,258.94,70.96
BAHAMAS,2015,SEPTEMBER,1219.26,59.07
BAHAMAS,2015,DECEMBER,849.89,3.92
BAHAMAS,2016,FEBRUARY,1284.85,43.47
BAHAMAS,2016,MARCH,517.89,58.62
BAHAMAS,2016,APRIL,881.04,19.95
BAHAMAS,2016,JUNE,504.17,65.31
BAHAMAS,2016,JULY,493.11,7.2
BAHAMAS,2016,AUGUST,720.96,75.92
BAHAMAS,2016,SEPTEMBER,1377.99,61.06
BAHAMAS,2016,NOVEMBER,1298.15,10.44
BAHAMAS,2017,JANUARY,1433.32,68.57
BAHAMAS,2017,FEBRUARY,811.99,83.37
BAHAMAS,2017,APRIL,496.72,28.33
BAHAMAS,2017,MAY,290.55,71.1
BAHAMAS,2017,JUNE,1493.17,76.64
BAHAMAS,2017,JULY,508.87,22.93
BAHAMAS,2017,AUGUST,363.36,19.78
BAHAMAS,2017,SEPTEMBER,674.02,33.25
BAHAMAS,2017,OCTOBER,856.49,87.29
BAHAMAS,2017,NOVEMBER,736.04,20.44
BAHAMAS,2017,DECEMBER,1040.52,17.73
BAHAMAS,2018,JANUARY,473.0,61.94
BAHAMAS,2018,FEBRUARY,1145.89,7.45
BAHAMAS,2018,MARCH,880.08,21.62
BAHAMAS,2018,APRIL,515.66,75.51
BAHAMAS,2018,MAY,1399.23,70.82
BAHAMAS,2018,JUNE,1360.0,73.5
BAHAMAS,2018,JULY,268.89,72.15
BAHAMAS,2018,AUGUST,1304.5,53.02
