Country,Year,Month,Combined Info
afghanistan,2015,January,642.54 USD for 24.57M visitors
afghanistan,2015,February,348.51 USD for 53.84M visitors
AFGHANISTAN,2015,March,921.73 USD for 19.72M visitors
Afg,2015,April,220.1 USD for 41.52M visitors
AFGHANISTAN,2015,May,1444.79 USD for 4.7M visitors
natsinahgfA,2015,June,743.74 USD for 45.71M visitors
Afghanistan,2015,July,388.51 USD for 82.92M visitors
Afg,2015,August,766.71 USD for 62.36M visitors
Afghanistan,2015,September,529.72 USD for 49.62M visitors
Afg,2015,October,562.25 USD for 87.21M visitors
AFGHANISTAN,2015,November,539.52 USD for 65.46M visitors
Afghanistan,2015,December,296.37 USD for 77.19M visitors
afghanistan,2016,January,952.33 USD for 62.47M visitors
natsinahgfA,2016,February,459.63 USD for 12.27M visitors
AFGHANISTAN,2016,March,1261.66 USD for 71.22M visitors
AFGHANISTAN,2016,April,541.14 USD for 61.87M visitors
Afghanistan,2016,May,903.73 USD for 33.55M visitors
AFGHANISTAN,2016,June,917.14 USD for 66.18M visitors
afghanistan,2016,July,1483.3 USD for 24.47M visitors
Afg,2016,August,413.5 USD for 62.42M visitors
afghanistan,2016,September,604.31 USD for 72.82M visitors
afghanistan,2016,October,930.18 USD for 17.33M visitors
AFGHANISTAN,2016,November,299.99 USD for 11.67M visitors
Afg,2016,December,1228.44 USD for 14.27M visitors
Afg,2017,January,1428.85 USD for 71.7M visitors
Afghanistan,2017,February,631.6 USD for 14.35M visitors
natsinahgfA,2017,March,894.92 USD for 36.15M visitors
AFGHANISTAN,2017,April,1332.02 USD for 20.79M visitors
Afghanistan,2017,May,347.34 USD for 51.21M visitors
afghanistan,2017,June,605.72 USD for 67.43M visitors
AFGHANISTAN,2017,July,864.22 USD for 23.31M visitors
natsinahgfA,2017,August,459.82 USD for 65.22M visitors
Afg,2017,September,821.08 USD for 30.16M visitors
Afg,2017,October,478.88 USD for 86.65M visitors
Afg,2017,November,1084.49 USD for 24.6M visitors
afghanistan,2017,December,505.78 USD for 57.36M visitors
AFGHANISTAN,2018,January,753.71 USD for 42.76M visitors
AFGHANISTAN,2018,February,503.2 USD for 53.93M visitors
natsinahgfA,2018,March,1120.41 USD for 63.09M visitors
Afghanistan,2018,April,1258.34 USD for 80.08M visitors
Afghanistan,2018,May,314.03 USD for 40.39M visitors
Afghanistan,2018,June,1461.0 USD for 7.66M visitors
Afg,2018,July,814.87 USD for 45.27M visitors
natsinahgfA,2018,August,901.73 USD for 56.2M visitors
AFGHANISTAN,2018,September,697.66 USD for 88.22M visitors
Afghanistan,2018,October,634.79 USD for 64.21M visitors
AFGHANISTAN,2018,November,1309.11 USD for 24.89M visitors
natsinahgfA,2018,December,1321.21 USD for 60.86M visitors
Afg,2019,January,306.25 USD for 1.75M visitors
Afghanistan,2019,February,638.78 USD for 53.63M visitors
Afghanistan,2019,March,1418.19 USD for 42.02M visitors
natsinahgfA,2019,April,573.74 USD for 27.23M visitors
Afg,2019,May,1355.52 USD for 17.21M visitors
afghanistan,2019,June,1010.66 USD for 63.52M visitors
AFGHANISTAN,2019,July,637.49 USD for 46.07M visitors
natsinahgfA,2019,August,610.84 USD for 86.83M visitors
Afg,2019,September,1162.53 USD for 19.24M visitors
natsinahgfA,2019,October,293.12 USD for 36.19M visitors
natsinahgfA,2019,November,1421.74 USD for 66.66M visitors
afghanistan,2019,December,893.31 USD for 29.59M visitors
afghanistan,2020,January,623.88 USD for 73.88M visitors
AFGHANISTAN,2020,February,1497.57 USD for 51.35M visitors
afghanistan,2020,March,237.56 USD for 77.25M visitors
AFGHANISTAN,2020,April,1475.98 USD for 5.4M visitors
afghanistan,2020,May,506.77 USD for 72.67M visitors
natsinahgfA,2020,June,1356.59 USD for 75.25M visitors
Afg,2020,July,1263.38 USD for 43.8M visitors
AFGHANISTAN,2020,August,394.12 USD for 81.07M visitors
natsinahgfA,2020,September,605.96 USD for 24.25M visitors
Afg,2020,October,1419.59 USD for 64.63M visitors
Afghanistan,2020,November,1425.96 USD for 57.81M visitors
Afghanistan,2020,December,467.89 USD for 57.25M visitors
AFGHANISTAN,2021,January,394.34 USD for 61.78M visitors
afghanistan,2021,February,418.19 USD for 48.31M visitors
AFGHANISTAN,2021,March,804.82 USD for 28.96M visitors
natsinahgfA,2021,April,447.31 USD for 47.34M visitors
Afg,2021,May,1165.39 USD for 56.42M visitors
AFGHANISTAN,2021,June,737.28 USD for 35.95M visitors
AFGHANISTAN,2021,July,368.28 USD for 23.22M visitors
afghanistan,2021,August,818.37 USD for 33.05M visitors
afghanistan,2021,September,609.45 USD for 62.11M visitors
AFGHANISTAN,2021,October,1080.24 USD for 47.79M visitors
AFGHANISTAN,2021,November,873.97 USD for 25.92M visitors
Afghanistan,2021,December,472.56 USD for 13.4M visitors
afghanistan,2022,January,739.59 USD for 60.84M visitors
afghanistan,2022,February,1009.96 USD for 83.19M visitors
afghanistan,2022,March,801.43 USD for 46.9M visitors
afghanistan,2022,April,1113.5 USD for 58.0M visitors
natsinahgfA,2022,May,287.59 USD for 14.07M visitors
Afghanistan,2022,June,203.81 USD for 6.68M visitors
AFGHANISTAN,2022,July,568.02 USD for 68.17M visitors
Afghanistan,2022,August,1376.38 USD for 34.54M visitors
natsinahgfA,2022,September,424.34 USD for 80.37M visitors
afghanistan,2022,October,952.45 USD for 7.78M visitors
AFGHANISTAN,2022,November,500.61 USD for 71.76M visitors
natsinahgfA,2022,December,1225.67 USD for 87.52M visitors
natsinahgfA,2023,January,509.34 USD for 71.9M visitors
Afg,2023,February,909.72 USD for 41.26M visitors
natsinahgfA,2023,March,381.49 USD for 75.99M visitors
Afg,2023,April,637.8 USD for 25.07M visitors
Afg,2023,May,646.32 USD for 32.54M visitors
Afg,2023,June,1329.31 USD for 57.59M visitors
Afg,2023,July,937.52 USD for 82.17M visitors
natsinahgfA,2023,August,622.31 USD for 78.6M visitors
natsinahgfA,2023,September,614.66 USD for 65.62M visitors
afghanistan,2023,October,879.03 USD for 84.01M visitors
natsinahgfA,2023,November,1122.88 USD for 54.79M visitors
Afghanistan,2023,December,1091.01 USD for 71.22M visitors
Alb,2015,January,445.99 USD for 17.06M visitors
albania,2015,February,743.07 USD for 34.67M visitors
albania,2015,March,380.28 USD for 52.74M visitors
ALBANIA,2015,April,1377.73 USD for 3.01M visitors
Alb,2015,May,281.62 USD for 29.15M visitors
Albania,2015,June,1269.31 USD for 31.5M visitors
ainablA,2015,July,495.24 USD for 49.6M visitors
Albania,2015,August,352.38 USD for 2.07M visitors
albania,2015,September,253.05 USD for 27.77M visitors
ALBANIA,2015,October,281.79 USD for 25.16M visitors
Alb,2015,November,827.01 USD for 51.28M visitors
Albania,2015,December,328.76 USD for 37.34M visitors
ainablA,2016,January,210.8 USD for 1.97M visitors
ainablA,2016,February,376.85 USD for 12.42M visitors
ainablA,2016,March,821.57 USD for 74.49M visitors
Alb,2016,April,291.59 USD for 21.34M visitors
albania,2016,May,1192.18 USD for 7.62M visitors
ALBANIA,2016,June,908.85 USD for 12.62M visitors
ALBANIA,2016,July,306.57 USD for 31.62M visitors
albania,2016,August,1282.91 USD for 22.37M visitors
Alb,2016,September,405.39 USD for 80.66M visitors
Albania,2016,October,796.72 USD for 72.17M visitors
Albania,2016,November,918.21 USD for 45.29M visitors
albania,2016,December,973.48 USD for 54.84M visitors
ALBANIA,2017,January,983.89 USD for 48.51M visitors
albania,2017,February,713.29 USD for 36.89M visitors
ainablA,2017,March,289.02 USD for 7.53M visitors
ALBANIA,2017,April,1074.02 USD for 20.79M visitors
Albania,2017,May,879.89 USD for 84.19M visitors
Alb,2017,June,988.68 USD for 47.68M visitors
ainablA,2017,July,536.82 USD for 48.83M visitors
albania,2017,August,519.18 USD for 30.79M visitors
ainablA,2017,September,342.47 USD for 42.09M visitors
ALBANIA,2017,October,982.74 USD for 38.03M visitors
ALBANIA,2017,November,1307.58 USD for 64.94M visitors
Albania,2017,December,1095.44 USD for 87.06M visitors
albania,2018,January,795.88 USD for 22.44M visitors
Alb,2018,February,1003.83 USD for 30.06M visitors
ainablA,2018,March,285.16 USD for 53.61M visitors
